timestamp,device_id,suhu,kelembaban,heat_index,pred_raw,pred_smooth,true_label
2025-12-11T17:24:56.527357+07:00,esp32_default,26.7,46.0,26.936,normal,normal,normal
2025-12-11T17:24:57.528781+07:00,esp32_default,26.7,46.0,26.936,normal,normal,normal
2025-12-11T17:24:58.523720+07:00,esp32_default,26.7,46.0,26.936,normal,normal,normal
2025-12-11T17:24:59.500632+07:00,esp32_default,26.7,46.0,26.936,normal,normal,normal
2025-12-11T17:25:00.595991+07:00,esp32_default,26.7,47.0,26.986,normal,normal,normal
2025-12-11T17:25:01.500551+07:00,esp32_default,26.7,47.0,26.986,normal,normal,normal
2025-12-11T17:25:02.520399+07:00,esp32_default,26.7,47.0,26.986,normal,normal,normal
2025-12-11T17:25:03.498350+07:00,esp32_default,26.7,47.0,26.986,normal,normal,normal
2025-12-11T17:25:04.528304+07:00,esp32_default,26.7,47.0,26.986,normal,normal,normal
2025-12-11T17:25:05.497318+07:00,esp32_default,26.7,47.0,26.986,normal,normal,normal
2025-12-11T17:25:06.523508+07:00,esp32_default,26.6,47.0,26.906,normal,normal,normal
2025-12-11T17:25:07.499000+07:00,esp32_default,26.6,47.0,26.906,normal,normal,normal
2025-12-11T17:25:08.524567+07:00,esp32_default,26.6,47.0,26.906,normal,normal,normal
2025-12-11T17:25:09.497381+07:00,esp32_default,26.6,47.0,26.906,normal,normal,normal
